time,force,position,velocity,acceleration,kinetic_energy,gravitational_potential_energy,total_mechanic_energy
0,-0.12,0.0017,0.037,0.35,1.72E-04,0.122652708,0.122824518
0.05,-0.11,0.0041,0.056,0.38,3.94E-04,0.122404424,0.122797992
0.1,-0.12,0.0074,0.076,0.383,7.25E-04,0.122063032,0.12278792
0.15,-0.13,0.0116,0.095,0.377,0.001132638,0.121628533,0.122761171
0.2,-0.12,0.0169,0.113,0.375,0.00160251,0.121080238,0.122682747
0.25,-0.11,0.023,0.132,0.377,0.002186712,0.12044918,0.122635892
0.3,-0.12,0.03,0.151,0.387,0.002861526,0.119725016,0.122586542
0.35,-0.11,0.0381,0.17,0.402,0.00362695,0.118887055,0.122514005
0.4,-0.11,0.047,0.191,0.42,0.004578366,0.117966332,0.122544698
0.45,-0.13,0.057,0.212,0.435,0.005640472,0.116931812,0.122572284
0.5,-0.11,0.0683,0.235,0.433,0.006930738,0.115762804,0.122693542
0.55,-0.11,0.0805,0.257,0.406,0.008289149,0.11450069,0.122789839
0.6,-0.13,0.094,0.276,0.365,0.009560088,0.113104087,0.122664175
0.65,-0.12,0.1083,0.293,0.342,0.010774049,0.111624724,0.122398773
0.7,-0.11,0.1233,0.308,0.358,0.011905432,0.110072943,0.121978375
0.75,-0.13,0.139,0.327,0.402,0.01341959,0.108448747,0.121868336
0.8,-0.12,0.1558,0.349,0.427,0.015286025,0.106710753,0.121996778
0.85,-0.12,0.1739,0.372,0.407,0.017367192,0.104838271,0.122205463
0.9,-0.12,0.1932,0.391,0.365,0.019186566,0.102841648,0.122028213
0.95,-0.11,0.2133,0.407,0.354,0.020788949,0.100762262,0.121551212
1,-0.12,0.2338,0.424,0.387,0.022561888,0.098641496,0.121203384
1.05,-0.13,0.2554,0.446,0.412,0.024963958,0.096406932,0.12137089
1.1,-0.12,0.2783,0.468,0.396,0.027487512,0.094037881,0.121525393
1.15,-0.11,0.3025,0.486,0.366,0.029642598,0.091534342,0.12117694
1.2,-0.13,0.3272,0.502,0.366,0.031626502,0.088979078,0.12060558
1.25,-0.12,0.3524,0.522,0.384,0.034196742,0.086372087,0.120568829
1.3,-0.12,0.3792,0.543,0.387,0.03700355,0.083599573,0.120603122
