time [s],weight [N],F_d [n],F_net [N],v_y [m/s]
0,98.1,0,-98.1,0
0.25,98.1,0,-98.1,-2.4525
0.5,98.1,0.28269354375,-97.81730645625,-4.89793266140625
0.75,98.1,1.1275179847165,-96.9724820152835,-7.32224471178834
1,98.1,2.51991757810768,-95.5800824218923,-9.71174677233565
1.25,98.1,4.43294719238868,-93.6670528076113,-12.0534230925259
1.5,98.1,6.82839538762955,-91.2716046123705,-14.3352132078352
1.75,98.1,9.65842187256235,-88.4415781274377,-16.5462526610211
2,98.1,12.8675884247504,-85.2324115752496,-18.6770629504024
2.25,98.1,16.3951359813048,-81.7048640186952,-20.7196845508698
2.5,98.1,20.1773504107149,-77.9226495892851,-22.6677507906019
2.75,98.1,24.1498655175271,-73.9501344824729,-24.5165041526637
3,98.1,28.2497718657761,-69.8502281342239,-26.2627598560193
3.25,98.1,32.4174300969821,-65.6825699030179,-27.9048241035947
3.5,98.1,36.5979227878704,-61.5020772121296,-29.442376033898
3.75,98.1,40.7421148065082,-57.3578851934918,-30.8763231637353
4,98.1,44.8073246092366,-53.2926753907635,-32.2086400485044
4.25,98.1,48.7576352073836,-49.3423647926164,-33.4421991683198
4.5,98.1,52.5638922050377,-45.5361077949623,-34.5806018631938
4.75,98.1,56.2034471853741,-41.8965528146259,-35.6280156835595
5,98.1,59.6597085727542,-38.4402914272458,-36.5890229692406
5.25,98.1,62.9215602866501,-35.1784397133499,-37.4684839620744
5.5,98.1,65.9827026495626,-32.1172973504374,-38.2714163958353
5.75,98.1,68.8409617083404,-29.2590382916596,-39.0028923531268
6,98.1,71.4976037597511,-26.6023962402489,-39.667952259133
6.25,98.1,73.9566825123443,-24.1433174876557,-40.2715351963244
6.5,98.1,76.2244377122334,-21.8755622877666,-40.8184242535186
6.75,98.1,78.308756651391,-19.791243348609,-41.3132053372338
7,98.1,80.2187039561129,-17.8812960438871,-41.760237738331
7.25,98.1,81.9641204302104,-16.1358795697896,-42.1636347275757
7.5,98.1,83.5552883917002,-14.5447116082998,-42.5272525177832
7.75,98.1,85.0026587154311,-13.0973412845689,-42.8546860498974
8,98.1,86.3166334724579,-11.7833665275421,-43.149270213086
8.25,98.1,87.5073974363298,-10.5926025636702,-43.4140852771778
8.5,98.1,88.5847916213409,-9.51520837865908,-43.6519654866442
8.75,98.1,89.5582222698174,-8.5417777301826,-43.8655099298988
9,98.1,90.4365991862723,-7.66340081372768,-44.057094950242
9.25,98.1,91.228297926368,-6.87170207363205,-44.2288875020828
9.5,98.1,91.941141014579,-6.15885898542096,-44.3828589767183
9.75,98.1,92.5823940345215,-5.51760596547855,-44.5207991258553
10,98.1,93.1587730758235,-4.94122692417648,-44.6443297989597
10.25,98.1,93.6764606103192,-4.42353938968085,-44.7549182837017
10.5,98.1,94.1411273972984,-3.95887260270158,-44.8538900987693
10.75,98.1,94.5579584786461,-3.54204152135388,-44.9424411368031
11,98.1,94.9316817207456,-3.16831827925445,-45.0216490937845
11.25,98.1,95.2665976948216,-2.83340230517841,-45.0924841514139
11.5,98.1,95.5666099664393,-2.53339003356075,-45.1558189022529
11.75,98.1,95.835255094454,-2.26474490554598,-45.2124375248916
12,98.1,96.0757318262846,-2.02426817371538,-45.2630442292345
12.25,98.1,96.2909291261889,-1.80907087381108,-45.3082710010798
12.5,98.1,96.4834527920424,-1.61654720795761,-45.3486846812787
12.75,98.1,96.6556505091359,-1.44434949086408,-45.3847934185503
13,98.1,96.8096352612909,-1.29036473870913,-45.417052537018
13.25,98.1,96.947307074062,-1.15269292593798,-45.4458698601665
13.5,98.1,97.0703731053179,-1.02962689468215,-45.4716105325335
13.75,98.1,97.1803661278535,-0.919633872146491,-45.4946013793372
14,98.1,97.2786614692452,-0.821338530754858,-45.5151348426061
14.25,98.1,97.3664924878088,-0.733507512191167,-45.5334725304109
14.5,98.1,97.4449646718509,-0.655035328149069,-45.5498484136146
14.75,98.1,97.5150684536535,-0.584931546346468,-45.5644717022732
15,98.1,97.5776908308412,-0.522309169158817,-45.5775294315022
