Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0,4.85E-04,0,0.517
0.03,4.85E-04,-0.002,2.835
0.05,4.85E-04,0.079,7.238
0.08,2.43E-04,0.346,11.485
0.1,0.0126,0.738,12.196
0.13,0.0403,1.062,8.725
0.15,0.0712,1.192,3.999
0.18,0.101,1.2,1.046
0.2,0.1307,1.2,0.307
0.23,0.1608,1.212,0.431
0.25,0.1914,1.227,0.42
0.28,0.2222,1.238,0.162
0.3,0.2534,1.237,-0.172
0.33,0.2844,1.226,-0.393
0.35,0.3147,1.213,-0.42
0.37,0.3449,1.203,-0.323
0.4,0.3748,1.197,-0.205
0.43,0.4047,1.193,-0.097
0.45,0.4345,1.192,0.016
0.48,0.4642,1.194,0.097
0.5,0.494,1.199,0.065
0.53,0.5242,1.2,-0.086
0.55,0.5543,1.195,-0.248
0.58,0.584,1.185,-0.296
0.6,0.6135,1.177,-0.205
0.62,0.6428,1.174,-0.054
0.65,0.672,1.175,0.049
0.68,0.7015,1.179,0.049
0.7,0.7311,1.179,-0.027
0.73,0.7606,1.177,-0.108
0.75,0.7899,1.173,-0.156
0.78,0.8192,1.169,-0.167
0.8,0.8484,1.164,-0.135
0.83,0.8775,1.161,-0.07
0.85,0.9063,1.161,-0.011
0.88,0.9354,1.162,2.22E-14
0.9,0.9645,1.162,-0.038
0.93,0.9935,1.16,-0.092
0.95,1.0225,1.157,-0.135
0.98,1.0515,1.153,-0.146
1,1.0801,1.149,-0.119
1.03,1.1088,1.146,-0.075
1.05,1.1374,1.146,-0.038
1.07,1.1661,1.145,-0.027
1.1,1.1947,1.145,-0.054
1.12,1.2233,1.143,-0.102
1.15,1.2519,1.139,-0.14
1.17,1.2803,1.135,-0.14
1.2,1.3085,1.132,-0.113
1.22,1.3369,1.129,-0.075
1.25,1.365,1.128,-0.043
1.28,1.3932,1.128,-0.043
1.3,1.4214,1.127,-0.081
1.33,1.4497,1.124,-0.119
1.35,1.4776,1.12,-0.124
1.37,1.5056,1.117,-0.108
1.4,1.5335,1.115,-0.081
1.42,1.5614,1.112,-0.054
1.45,1.589,1.112,-0.038
1.47,1.6169,1.112,-0.054
1.5,1.6448,1.11,-0.086
1.53,1.6723,1.107,-0.108
1.55,1.7001,1.104,-0.124
1.58,1.7276,1.101,-0.124
1.6,1.7551,1.097,-0.102
1.62,1.7824,1.095,-0.07
1.65,1.8098,1.095,-0.059
1.67,1.8372,1.093,-0.075
1.7,1.8645,1.091,-0.151
1.72,1.8917,1.088,-1.196
1.75,1.919,1.077,-5.158
1.78,1.946,0.927,-12.315
1.8,1.9717,0.478,-18.965
1.83,1.978,-0.16,-19.833
1.85,1.9586,-0.681,-13.986
1.87,1.9351,-0.889,-6.095
1.9,1.9125,-0.891,-0.954
1.92,1.8907,-0.864,0.534
1.95,1.8694,-0.849,0.221
1.98,1.8486,-0.851,-0.35
2,1.8273,-0.871,-0.668
2.02,1.8051,-0.895,-0.55
2.05,1.7823,-0.905,-0.102
2.08,1.7594,-0.899,0.356
2.1,1.7372,-0.882,0.561
2.12,1.7154,-0.865,0.48
2.15,1.694,-0.855,0.232
2.18,1.6728,-0.854,-0.022
2.2,1.6515,-0.859,-0.167
2.22,1.6299,-0.865,-0.178
2.25,1.6082,-0.869,-0.086
2.27,1.5864,-0.87,0.054
2.3,1.5646,-0.867,0.189
2.33,1.5429,-0.859,0.264
2.35,1.5216,-0.851,0.243
2.37,1.5005,-0.846,0.146
