Time (s),Position (m),Velocity (m/s_,Acceleration (m/s²)
0,0,0,0.34
0.03,0,0,2.037
0.05,0,0.051,5.745
0.08,0,0.255,10.041
0.1,0.0076,0.607,11.819
0.13,0.0306,0.95,9.464
0.15,0.0605,1.129,4.883
0.18,0.0896,1.153,1.277
0.2,0.1179,1.137,-0.075
0.23,0.1461,1.133,-0.097
0.25,0.1745,1.137,0.038
0.28,0.203,1.138,0.011
0.3,0.2315,1.137,-0.075
0.33,0.2599,1.134,-0.135
0.35,0.2882,1.129,-0.135
0.37,0.3164,1.126,-0.081
0.4,0.3444,1.125,-0.016
0.43,0.3726,1.126,0.022
0.45,0.4008,1.127,0.027
0.48,0.4289,1.128,-0.005
0.5,0.4572,1.128,-0.065
0.53,0.4854,1.125,-0.108
0.55,0.5134,1.12,-0.097
0.58,0.5413,1.119,-0.043
0.6,0.5693,1.119,0.011
0.62,0.5973,1.12,0.038
0.65,0.6252,1.121,0.022
0.68,0.6534,1.122,-0.043
0.7,0.6815,1.12,-0.102
0.73,0.7094,1.115,-0.097
0.75,0.7372,1.113,-0.043
0.78,0.7649,1.114,-1.33E-13
0.8,0.7929,1.114,0.011
0.83,0.8207,1.114,0.011
0.85,0.8485,1.115,6.22E-14
0.88,0.8765,1.115,-0.032
0.9,0.9044,1.113,-0.065
0.93,0.932,1.111,-0.075
0.95,0.9599,1.109,-0.054
0.98,0.9876,1.108,-1.78E-13
1,1.0152,1.108,0.043
1.03,1.0429,1.112,0.027
1.05,1.0709,1.112,-0.038
1.07,1.0986,1.108,-0.075
1.1,1.1262,1.106,-0.059
1.12,1.1538,1.106,-0.032
1.15,1.1816,1.105,-0.022
1.17,1.2091,1.104,-0.016
1.2,1.2366,1.104,-0.016
1.22,1.2644,1.104,-0.027
1.25,1.2919,1.103,-0.027
1.28,1.3195,1.102,-0.022
1.3,1.347,1.103,-0.032
1.33,1.3746,1.101,-0.049
1.35,1.4022,1.099,-0.038
1.37,1.4294,1.099,-0.005
1.4,1.457,1.099,-5.77E-14
1.42,1.4846,1.099,-0.022
1.45,1.5119,1.098,-0.043
1.47,1.5394,1.097,-0.059
1.5,1.5668,1.095,-0.054
1.53,1.5942,1.093,-0.027
1.55,1.6214,1.094,-2.67E-14
1.58,1.6488,1.095,-0.005
1.6,1.6763,1.094,-0.027
1.62,1.7035,1.092,-0.032
1.65,1.7308,1.092,-0.038
1.67,1.7582,1.091,-0.049
1.7,1.7855,1.089,-0.038
1.72,1.8125,1.088,-0.005
1.75,1.8398,1.09,0.005
1.78,1.8671,1.09,-0.108
1.8,1.8944,1.088,-1.196
1.83,1.9214,1.074,-5.088
