Time (t) [s],Position (s) [m],Velocity (v) [m/s],Acceleration (a) [m/s²]
0,0,0,-0.005
0.03,0,0,0.399
0.05,0,-8.08E-04,2.317
0.08,0,0.061,6.263
0.1,-1.21E-04,0.287,10.531
0.13,0.0092,0.652,11.991
0.15,0.0338,0.988,9.421
0.18,0.0638,1.158,5.028
0.2,0.0935,1.193,1.789
0.23,0.1233,1.2,0.614
0.25,0.1533,1.214,0.534
0.28,0.1841,1.23,0.566
0.3,0.2149,1.244,0.507
0.33,0.2462,1.255,0.399
0.35,0.2778,1.264,0.302
0.37,0.3095,1.269,0.269
0.4,0.3412,1.276,0.313
0.43,0.3731,1.285,0.399
0.45,0.4055,1.296,0.463
0.48,0.4379,1.309,0.48
0.5,0.4709,1.321,0.442
0.53,0.5041,1.331,0.377
0.55,0.5374,1.34,0.329
0.58,0.571,1.347,0.329
0.6,0.6049,1.355,0.372
0.62,0.6387,1.365,0.431
0.65,0.673,1.377,0.469
0.68,0.7077,1.39,0.458
0.7,0.7424,1.401,0.41
0.73,0.7778,1.41,0.356
0.75,0.8131,1.418,0.34
0.78,0.8485,1.426,0.361
0.8,0.8844,1.436,0.393
0.83,0.9204,1.446,0.42
0.85,0.9565,1.457,0.437
0.88,0.9933,1.468,0.437
0.9,1.03,1.479,0.42
0.93,1.0671,1.489,0.388
0.95,1.1046,1.499,0.356
0.98,1.142,1.507,0.356
1,1.1799,1.515,0.383
1.03,1.2178,1.526,0.42
1.05,1.256,1.537,0.437
1.07,1.2948,1.548,0.42
1.1,1.3334,1.559,0.399
1.12,1.3727,1.568,0.372
1.15,1.412,1.577,0.366
1.17,1.4514,1.585,0.388
1.2,1.4913,1.596,0.415
1.22,1.5312,1.607,0.437
1.25,1.5716,1.618,0.42
1.28,1.6122,1.629,0.383
1.3,1.6529,1.637,0.345
1.33,1.6942,1.645,0.334
1.35,1.7351,1.653,0.372
1.37,1.7767,1.663,0.41
1.4,1.8183,1.675,0.172
1.42,1.8604,1.685,-3.255
1.45,1.9027,1.657,-12.762
1.47,1.945,1.192,-25.32
1.5,1.9823,0.253,-31.803
1.53,1.9597,-0.709,-25.891
1.55,1.926,-1.212,-12.94
1.58,1.895,-1.226,-2.555
1.6,1.8653,-1.171,1.272
1.62,1.8365,-1.133,1.126
1.65,1.8089,-1.114,0.447
1.67,1.7813,-1.114,-0.022
1.7,1.7533,-1.123,-0.162
1.72,1.725,-1.128,0.011
1.75,1.6968,-1.125,0.345
1.78,1.6687,-1.111,0.679
1.8,1.6409,-1.088,0.873
1.83,1.6142,-1.062,0.857
1.85,1.5881,-1.042,0.706
1.87,1.5622,-1.028,0.544
1.9,1.5366,-1.016,0.437
1.92,1.5114,-1.006,0.393
1.95,1.4864,-0.998,0.442
1.98,1.4615,-0.987,0.577
2,1.4368,-0.969,0.69
2.02,1.4129,-0.949,0.69
2.05,1.3895,-0.933,0.609
2.08,1.3664,-0.92,0.534
